epi_week;date;country;state;city;newDeaths;deaths;newCases;totalCases;deathsMS;totalCasesMS;deaths_per_100k_inhabitants;totalCases_per_100k_inhabitants;deaths_by_totalCases;recovered;suspects;tests;tests_per_100k_inhabitants;vaccinated;vaccinated_per_100_inhabitants;vaccinated_second;vaccinated_second_per_100_inhabitants;vaccinated_single;vaccinated_single_per_100_inhabitants
9;25/02/2020;Brazil;TOTAL;TOTAL;0;0;1;1;0;0;0;47;0;;;;;;;;;;
9;26/02/2020;Brazil;TOTAL;TOTAL;0;0;0;1;0;1;0;47;0;;;;;;;;;;
9;27/02/2020;Brazil;TOTAL;TOTAL;0;0;0;1;0;1;0;47;0;;;;;;;;;;
9;28/02/2020;Brazil;TOTAL;TOTAL;0;0;1;2;0;1;0;94;0;;;;;;;;;;
9;29/02/2020;Brazil;TOTAL;TOTAL;0;0;0;2;0;2;0;94;0;;;;;;;;;;
10;01/03/2020;Brazil;TOTAL;TOTAL;0;0;0;2;0;2;0;94;0;;;;;;;;;;
10;02/03/2020;Brazil;TOTAL;TOTAL;0;0;0;2;0;2;0;94;0;;;;;;;;;;
10;03/03/2020;Brazil;TOTAL;TOTAL;0;0;0;2;0;2;0;94;0;;;;;;;;;;
10;04/03/2020;Brazil;TOTAL;TOTAL;0;0;1;3;0;3;0;141;0;;;;;;;;;;
10;05/03/2020;Brazil;TOTAL;TOTAL;0;0;4;7;0;7;0;328;0;;;;;;;;;;
10;06/03/2020;Brazil;TOTAL;TOTAL;0;0;7;14;0;13;0;656;0;;;;;;;;;;
10;07/03/2020;Brazil;TOTAL;TOTAL;0;0;5;19;0;19;0;891;0;;;;;;;;;;
11;08/03/2020;Brazil;TOTAL;TOTAL;0;0;6;25;0;25;0;1172;0;;;;;;;;;;
11;09/03/2020;Brazil;TOTAL;TOTAL;0;0;0;25;0;25;0;1172;0;;;;;;;;;;
11;10/03/2020;Brazil;TOTAL;TOTAL;0;0;9;34;0;34;0;1594;0;;;;;;;;;;
11;11/03/2020;Brazil;TOTAL;TOTAL;0;0;19;53;0;52;0;2485;0;;;;;;;;;;
11;12/03/2020;Brazil;TOTAL;TOTAL;0;0;36;89;0;77;0;4172;0;;;;;;;;;;
11;13/03/2020;Brazil;TOTAL;TOTAL;0;0;17;106;0;98;0;4969;0;;;;;;;;;;
11;14/03/2020;Brazil;TOTAL;TOTAL;0;0;36;142;0;121;0;6657;0;;;;;;;;;;
12;15/03/2020;Brazil;TOTAL;TOTAL;0;0;83;225;0;200;0;10548;0;;;;;;;;;;
12;16/03/2020;Brazil;TOTAL;TOTAL;0;0;54;279;0;234;0;13079;0;;;;;;;;;;
12;17/03/2020;Brazil;TOTAL;TOTAL;1;1;54;333;1;291;47;15611;300;;;;;;;;;;
12;18/03/2020;Brazil;TOTAL;TOTAL;3;4;181;514;4;428;188;24096;778;;;;;;;;;;
12;19/03/2020;Brazil;TOTAL;TOTAL;3;7;129;643;6;621;328;30143;1089;;;;;;;;;;
12;20/03/2020;Brazil;TOTAL;TOTAL;4;11;331;974;11;904;516;45660;1129;;;;;;;;;;
12;21/03/2020;Brazil;TOTAL;TOTAL;7;18;224;1198;18;1128;844;56160;1503;;;;;;;;;;
13;22/03/2020;Brazil;TOTAL;TOTAL;7;25;396;1594;25;1546;1172;74724;1568;;;;;;;;;;
13;23/03/2020;Brazil;TOTAL;TOTAL;9;34;358;1952;34;1891;1594;91507;1742;8;15867;;;;;;;;
13;24/03/2020;Brazil;TOTAL;TOTAL;13;47;303;2255;46;2201;2203;105711;2084;20;17700;;;;;;;;
13;25/03/2020;Brazil;TOTAL;TOTAL;12;59;311;2566;57;2433;2766;120290;2299;27;27227;;;;;;;;
13;26/03/2020;Brazil;TOTAL;TOTAL;18;77;424;2990;77;2915;3610;140167;2575;42;50012;;;;;;;;
13;27/03/2020;Brazil;TOTAL;TOTAL;16;93;486;3476;92;3417;4360;162949;2675;42;51903;;;;;;;;
13;28/03/2020;Brazil;TOTAL;TOTAL;22;115;479;3955;114;3903;5391;185404;2908;56;53256;;;;;;;;
14;29/03/2020;Brazil;TOTAL;TOTAL;24;139;360;4315;136;4256;6516;202281;3221;56;59066;;;;;;;;
14;30/03/2020;Brazil;TOTAL;TOTAL;27;166;348;4663;159;4579;7782;218594;3560;66;58163;;;;;;;;
